siteid,sitename,siteengname,damname,county,township,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,samplelayer,sampledepth,itemname,itemengname,itemengabbreviation,itemvalue,itemunit,note
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,正磷酸鹽,PO4-P,PO4,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,102.0,%,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,總鹼度,Alkalinity,TAlk,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,總硬度,"Total Hardness",TH,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,總氮,"Total Nitrogen",TN,0.85,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,總凱氏氮,TKN,TKN,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,氨氮,NH3-N,NH3_N,0.01,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,總有機碳,"Total Organic Carbon",TOC,0.70,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,化學需氧量,"Chemical Oxygen Demand",COD,<4.0,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,溶氧(電極法),"Dissolved Oxygen",DO,8.5,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,懸浮固體,"Suspended Solid",SS,6.6,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,氣溫,Temperature,TMP,14.2,℃,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,採樣深度,"Sampling Depth",SampleDepth,0.5,m,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,導電度,Conductivity,EC,286,μmho/cm25℃,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,濁度,Turbidity,TB,5.9,NTU,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,酸鹼值,pH,pH,8.17," ",
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,透明度,Transparency,SD,1.8,m,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,水溫,"Water Temperature",WT,16.3,℃,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-02-15 11:35:00",表水,0.5,卡爾森指數,"Carlson Trophic State Index",CTSI,49,,
2197,七美水庫,"Chi-Mei Reservoir I",七美水庫,澎湖縣,,119.4345620,23.2117290,294478.46,2567795.31,"2023-02-22 12:06:00",表水,,葉綠素a,Chlorophyl-A,Chl_a,-,μg/L,
2197,七美水庫,"Chi-Mei Reservoir I",七美水庫,澎湖縣,,119.4345620,23.2117290,294478.46,2567795.31,"2023-02-22 12:06:00",表水,,總磷,Total-Phosphate,TP,-,mg/L,
2197,七美水庫,"Chi-Mei Reservoir I",七美水庫,澎湖縣,,119.4345620,23.2117290,294478.46,2567795.31,"2023-02-22 12:06:00",表水,,正磷酸鹽,PO4-P,PO4,-,mg/L,
2197,七美水庫,"Chi-Mei Reservoir I",七美水庫,澎湖縣,,119.4345620,23.2117290,294478.46,2567795.31,"2023-02-22 12:06:00",表水,,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,-,%,
