siteid,sitename,siteengname,damname,county,township,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,samplelayer,sampledepth,itemname,itemengname,itemengabbreviation,itemvalue,itemunit,note
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,正磷酸鹽,PO4-P,PO4,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,149.6,%,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,總鹼度,Alkalinity,TAlk,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,總硬度,"Total Hardness",TH,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,總氮,"Total Nitrogen",TN,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,總凱氏氮,TKN,TKN,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,氨氮,NH3-N,NH3_N,0.02,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,總有機碳,"Total Organic Carbon",TOC,1.12,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,化學需氧量,"Chemical Oxygen Demand",COD,8.3,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,溶氧(電極法),"Dissolved Oxygen",DO,10.8,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,懸浮固體,"Suspended Solid",SS,4.6,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,氣溫,Temperature,TMP,26.8,℃,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,採樣深度,"Sampling Depth",SampleDepth,0.5,m,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,導電度,Conductivity,EC,247,μmho/cm25℃,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,濁度,Turbidity,TB,3.7,NTU,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,酸鹼值,pH,pH,9.02," ",
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,透明度,Transparency,SD,2.0,m,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,水溫,"Water Temperature",WT,23.3,℃,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-09-14 11:40:00",表水,0.5,卡爾森指數,"Carlson Trophic State Index",CTSI,55,,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-08-11 11:56:00",表水,0.5,葉綠素a,Chlorophyl-A,Chl_a,36.5,μg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-08-11 11:56:00",表水,0.5,總磷,Total-Phosphate,TP,0.034,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-08-11 11:56:00",表水,0.5,正磷酸鹽,PO4-P,PO4,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-08-11 11:56:00",表水,0.5,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,155.9,%,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-08-11 11:56:00",表水,0.5,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
2201,德基水庫五,"Te-Chi Reservoir V",德基水庫,臺中市,,121.2476840,24.2700840,275146.96,2684957.04,"2023-08-11 11:56:00",表水,0.5,總鹼度,Alkalinity,TAlk,-,mg/L,
